JKNO,JKNAME,BIRTHDAY,AGE,HEIGHT,WEIGHT,HOMETOWN,BLOODTYPE,DEBUT,WINS_THIS_YEAR,WINS_TOTAL,PRIZE_THIS_YEAR,PRIZE_TOTAL,GI_WINS,GRADED_WINS_1,FIRST_DEBUT,FIRST_WIN_DATE,GRADED_STARTS,GRADED_WINS_2,FIRST_GI_START,FIRST_GI_WIN,RCCNTT,ORD1CNTT,ORD2CNTT,ORD3CNTT,WINRATET,QNLRATET,ORD1CNTY,ORD2CNTY,ORD3CNTY,WINRATEY,QNLRATEY,RCCNTY
01096,大野拓弥 (オオノタクヤ),1986-09-08,39,162,46,埼玉県,B型,2005年(22年目),中央 3勝 (61位) 地方 0勝(270位),中央 755勝 地方 17勝,"中央1億3,290万円 地方 300万円","中央153億2,257万円 地方6億2,947万円","5勝(中央2勝,地方3勝,海外0勝)","18勝(中央12勝,地方6勝,海外0勝)",2005/03/05 中京1R 3歳未勝利 ナンヨージルバ,2005/03/13 中山4R 3歳未勝利 フレンチクルーラー,2006/04/23 東京11R サンスポ賞フローラS(G2) ミルキーウェイ (6着),2011/12/10 小倉11R 中日新聞杯(G3) コスモファントム,2007/05/20 東京11R 優駿牝馬(G1) マイネルーチェ (6着),2014/10/05 新潟11R スプリンターズS(G1) スノードラゴン,27737,755,888,1018,5.4,19.2,3,11,10,2.0,16.0,300
01109,¬„ĻįŅÕ (•ř•ś•ļ•Ŗ•“•Ū•»),1985-11-12,40,165,50,įŮĺŽł©,A∑Ņ,2006«Į(21«ĮŐ‹),√śĪŻ 1ĺ° (92įŐ) √Ō ż 0ĺ°(0įŐ),√śĪŻ 207ĺ° √Ō ż 4ĺ°,"√śĪŻ3,513ňŁĪŖ √Ō ż 0ňŁĪŖ","√śĪŻ41≤Į4,109ňŁĪŖ √Ō ż1,290ňŁĪŖ","0ĺ°(√śĪŻ0ĺ°,√Ō ż0ĺ°,≥§≥į0ĺ°)","2ĺ°(√śĪŻ2ĺ°,√Ō ż0ĺ°,≥§≥į0ĺ°)",2006/03/04 √śĽ≥1R 3ļ–Ő§ĺ°ÕÝ •«•£•Ę•»•ť•√•Į (14√Ś),2006/04/01 √śĽ≥8R 4ļ–į ĺŚ500ňŁ≤ľ •§•Ń•ť•§•Ņ•√•Ń,2008/12/20 √śĶĢ11R į¶√ő«’(G3) •Ļ•ŕ•∑•„•Ž•’•Ū°ľ•» (15√Ś),2015/01/12 √śĽ≥11R •’•ß•Ę•Í°ľS(G3) •ő•√•»•’•©°ľ•ř•Ž,2015/04/12 ļŚŅņ11R ļý≤÷ĺř(G1) •ő•√•»•’•©°ľ•ř•Ž (5√Ś),-,13541,207,289,315,3.1,12.0,1,1,1,1.6,4.8,124
01113,草野太郎 (クサノタロウ),1989-01-20,37,162,49,茨城県,A型,2007年(20年目),中央 1勝 (92位) 地方 0勝(0位),中央 76勝 地方 0勝,"中央6,049万円 地方 0万円","中央17億8,767万円 地方0万円","2勝(中央2勝,地方0勝,海外0勝)","6勝(中央6勝,地方0勝,海外0勝)",2007/03/04 中山2R 3歳未勝利 ステラフィランテ (11着),2007/05/13 新潟2R 3歳未勝利 ニシノタマテバコ,2009/06/13 東京9R 東京ジャンプS(J.G3) ハイヤーザンヘブン (14着),2013/06/22 東京8R 東京ジャンプS(J.G3) アポロマーベリック,-,-,2363,76,103,84,4.2,14.6,1,3,6,3.4,34.5,29
01119,伊藤工真 (イトウタクマ),1990-02-26,36,160,50,福島県,A型,2008年(19年目),中央0勝(118位) 地方 0勝(0位),中央 130勝 地方 1勝,中央644万円 地方 0万円,"中央24億3,514万円 地方605万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2008/03/01 中山1R 3歳未勝利 トウショウブリーズ (9着),2008/10/26 東京1R 2歳未勝利 サザンスターディ,2009/02/15 東京11R ダイヤモンドS(G3) ゴーウィズウィンド (5着),-,2010/05/09 東京11R NHKマイルC(G1) キングレオポルド (12着),-,8047,130,193,211,3.2,13.2,0,0,1,0.0,5.0,40
01120,大江原圭 (オオエハラケイ),1990-02-26,36,168,47,茨城県,A型,2008年(19年目),中央 4勝 (56位) 地方 0勝(0位),中央 52勝 地方 0勝,"中央6,331万円 地方 0万円","中央11億2,749万円 地方0万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2008/03/01 中京1R 3歳未勝利 ビリーヴインタイム (13着),2014/01/19 中京2R 3歳未勝利 サンライズレーヴ,2009/12/26 中山10R 中山大障害(J.G1) モルフェサイレンス (4着),-,-,-,1497,52,59,85,4.0,15.3,4,1,2,15.4,26.9,26
01123,小野寺祐太 (オノデラユウタ),1990-03-12,36,162,49,宮城県,O型,2009年(18年目),中央 2勝 (79位) 地方 0勝(0位),中央 66勝 地方 0勝,"中央4,063万円 地方 0万円","中央13億6,696万円 地方7万円","0勝(中央0勝,地方0勝,海外0勝)","1勝(中央1勝,地方0勝,海外0勝)",2009/03/01 中山5R 3歳未勝利 エアダーミ (5着),2009/03/29 中山5R 3歳未勝利 キングヴィオラ,2010/11/07 東京11R アルゼンチン共和国杯(G2) マキハタサイボーグ (11着),2023/03/11 阪神8R 阪神スプリングJ(J.G2) ジェミニキング,-,-,3220,66,77,108,3.2,12.3,2,1,0,6.7,10.0,30
01129,菅原隆一 (スガハラリュウイチ),1992-03-11,34,161,50,茨城県,A型,2010年(17年目),中央 1勝 (92位) 地方 0勝(0位),中央 24勝 地方 0勝,中央830万円 地方 0万円,"中央3億7,660万円 地方141万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2010/03/06 中山8R 4歳以上500万下 ホクセツポイント (10着),2011/08/28 札幌2R 3歳未勝利 メジロマリシテン,2015/05/02 東京11R テレビ東京杯青葉賞(G2) トーセンアーネスト (13着),-,-,-,2706,24,28,31,1.8,6.1,1,0,0,5.6,5.6,36
01134,嶋田純次 (シマダジュンジ),1993-03-08,33,162,49,埼玉県,O型,2011年(16年目),中央 2勝 (79位) 地方 0勝(0位),中央 110勝 地方 0勝,"中央3,197万円 地方 0万円","中央19億2,911万円 地方61万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2011/03/05 中山1R 3歳未勝利 ワイズアンドクール (1着),2011/03/05 中山1R 3歳未勝利 ワイズアンドクール,2011/09/04 新潟11R 新潟2歳S(G3) フィロパトール (9着),-,2021/04/18 中山11R 皐月賞(G1) アサマノイタズラ (16着),-,6882,110,139,178,3.2,12.4,2,1,2,3.4,8.5,118
01139,森一馬 (モリカズマ),1993-03-13,33,171,51,神奈川県,O型,2011年(16年目),中央 1勝 (92位) 地方 0勝(0位),中央 150勝 地方 0勝,"中央3,392万円 地方 0万円","中央34億1,854万円 地方65万円","2勝(中央2勝,地方0勝,海外0勝)","11勝(中央11勝,地方0勝,海外0勝)",2011/03/05 阪神1R 3歳未勝利 ミスバイアモン (8着),2011/03/26 小倉1R 3歳未勝利 スパークスフライ,2012/07/28 小倉8R 小倉サマージャンプ(J.G3) ノボリデューク (5着),2015/11/14 京都8R 京都ジャンプS(J.G3) ダンツミュータント,2017/03/26 中京11R 高松宮記念(G1) ラインスピリット (13着),-,2997,150,145,118,7.9,21.7,1,0,3,5.6,22.2,18
01140,横山和生 (ヨコヤマカズオ),1993-03-23,33,167,52,茨城県,A型,2011年(16年目),中央 20勝 (12位) 地方 0勝(270位),中央 514勝 地方 5勝,"中央4億4,270万円 地方 450万円","中央106億7,617万円 地方3億4,534万円","6勝(中央4勝,地方2勝,海外0勝)","25勝(中央20勝,地方5勝,海外0勝)",2011/03/05 中山1R 3歳未勝利 ディアアルジャン (15着),2011/04/30 新潟7R 4歳以上500万下 ローレルカンタータ,2012/08/19 札幌11R 札幌記念(G2) ネヴァブション (12着),2018/08/12 札幌11R エルムS(G3) ハイランドピーク,2014/04/13 阪神11R 桜花賞(G1) フクノドリーム (15着),2022/05/01 阪神11R 天皇賞(春)(G1) タイトルホルダー,13452,514,444,466,7.6,21.2,20,8,17,12.2,27.4,328
01143,原田和真 (ハラダカズマ),1994-01-15,32,165,49,大阪府,AB型,2012年(15年目),中央 2勝 (79位) 地方 0勝(0位),中央 60勝 地方 0勝,"中央4,000万円 地方 0万円","中央11億2,636万円 地方215万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2012/03/03 中京7R 4歳以上500万下 アテンボーイ (10着),2012/03/10 中山2R 3歳未勝利 カシノアポロン,2014/06/22 東京11R ユニコーンS(G3) ドリームカイザー (15着),-,2019/12/15 阪神11R 朝日フューチュリティ(G1) プリンスリターン (5着),-,5151,60,85,97,2.3,9.2,2,0,1,3.3,4.9,122
01153,木幡初也 (コワタハツヤ),1995-04-07,31,155,47,茨城県,O型,2014年(13年目),中央 2勝 (79位) 地方 0勝(270位),中央 96勝 地方 3勝,"中央3,187万円 地方 80万円","中央17億2,354万円 地方934万円","0勝(中央0勝,地方0勝,海外0勝)","1勝(中央1勝,地方0勝,海外0勝)",2014/03/01 中山6R 3歳未勝利 ディープフォンテン (12着),2014/03/15 中山12R 4歳以上500万下 カレイファンタジア,2014/04/06 中山11R ダービー卿チャレンジ(G3) スプラッシュエンド (13着),2024/09/01 新潟11R 新潟記念(G3) シンリョクカ,2016/12/11 阪神11R 阪神ジュベナイルF(G1) エムオービーナス (18着),-,6684,96,135,143,2.9,11.2,2,3,0,3.9,9.8,102
01158,野中悠太郎 (ノナカユウタロウ),1996-12-29,29,161,46,福岡県,A型,2015年(12年目),中央 2勝 (79位) 地方 0勝(270位),中央 115勝 地方 5勝,"中央2,151万円 地方 62万円","中央23億3,702万円 地方2,201万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2015/03/01 中山6R 3歳未勝利 タマヨリモハヤク (14着),2015/07/19 福島1R 2歳未勝利 キャラメルサレ,2016/09/18 中山11R 朝日セントライト記念(G2) ネイチャーレット (4着),-,2022/05/22 東京11R 優駿牝馬(G1) ラブパイロー (15着),-,9346,115,160,203,2.5,10.2,2,2,0,2.6,5.1,156
01162,木幡巧也 (コワタタクヤ),1996-05-09,29,159,46,茨城県,O型,2016年(11年目),中央 6勝 (47位) 地方 0勝(0位),中央 270勝 地方 2勝,"中央1億2,177万円 地方 0万円","中央49億3,025万円 地方1,863万円","0勝(中央0勝,地方0勝,海外0勝)","3勝(中央3勝,地方0勝,海外0勝)",2016/03/05 中山1R 3歳未勝利 プリンセスミエル (10着),2016/03/27 中山1R 3歳未勝利 モンサンアルナイル,2016/07/31 新潟11R アイビスサマーD(G3) フレイムヘイロー (8着),2017/08/06 新潟11R レパードS(G3) ローズプリンスダム,2020/05/03 京都11R 天皇賞(春)(G1) ミライヘノツバサ (12着),-,12558,270,333,365,4.3,15.4,6,14,5,3.3,13.6,368
01169,武藤雅 (ムトウミヤビ),1998-01-10,28,155,45,茨城県,A型,2017年(10年目),中央 3勝 (61位) 地方 0勝(270位),中央 208勝 地方 6勝,"中央8,712万円 地方 100万円","中央36億7,365万円 地方8,473万円","0勝(中央0勝,地方0勝,海外0勝)","2勝(中央1勝,地方1勝,海外0勝)",2017/03/04 中山1R 3歳未勝利 ラインアストロ (8着),2017/04/23 福島6R 3歳未勝利 ノーブルプルート,2017/09/09 中山11R 紫苑S(G3) フレスコパスト (14着),2026/03/07 中山11R 中山牝馬S(G3) エセルフリーダ,2018/03/25 中京11R 高松宮記念(G1) ノボバカラ (13着),-,8656,208,234,247,4.8,15.9,3,1,7,3.0,11.0,200
01170,横山武史 (ヨコヤマタケシ),1998-12-22,27,161,45,茨城県,O型,2017年(10年目),中央 36勝 (6位) 地方 0勝(270位),中央 801勝 地方 21勝,"中央5億8,988万円 地方 0万円","中央158億6,625万円 地方6億8,284万円","10勝(中央6勝,地方4勝,海外0勝)","36勝(中央27勝,地方9勝,海外1勝)",2017/03/04 中山1R 3歳未勝利 ルーナデラセーラー (7着),2017/04/16 福島9R 4歳以上500万下 ヒルノサルバドール,2018/05/06 新潟11R 新潟大賞典(G3) アウトライアーズ (9着),2020/04/26 東京11R サンスポ賞フローラS(G2) ウインマリリン,2019/05/26 東京11R 東京優駿(G1) リオンリオン (15着),2021/04/18 中山11R 皐月賞(G1) エフフォーリア,13208,801,669,641,12.1,32.0,36,27,26,15.7,38.9,458
01177,小林凌大 (コバヤシリョウタ),2001-02-20,25,164,47,茨城県,AB型,2019年(8年目),中央0勝(118位) 地方 0勝(0位),中央 54勝 地方 7勝,中央951万円 地方 0万円,"中央9億959万円 地方1,367万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2019/03/02 中山9R 4歳以上500万下 フジマサクイーン (7着),2019/12/15 中山1R 2歳未勝利 スピーニディローザ,-,-,-,-,3851,54,66,81,2.8,10.4,0,2,0,0.0,5.4,69
01183,小林脩斗 (コバヤシシュウト),2001-11-08,24,165,45,茨城県,O型,2020年(7年目),中央0勝(118位) 地方 1勝 (231位),中央 46勝 地方 2勝,"中央1,169万円 地方 62万円","中央7億7,084万円 地方495万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2020/03/01 中山1R 3歳未勝利 ナックダイヤ (8着),2020/03/21 中山2R 3歳未勝利 アイアムイチオシ,2022/12/11 中山11R カペラS(G3) ヤマトコウセイ (12着),-,-,-,3528,46,56,64,2.6,9.4,0,1,0,0.0,1.6,122
01184,原優介 (ハラユウスケ),2000-06-10,25,158,47,東京都,B型,2020年(7年目),中央 7勝 (40位) 地方 0勝(270位),中央 112勝 地方 7勝,"中央2億3,922万円 地方 35万円","中央23億8,856万円 地方5,981万円","0勝(中央0勝,地方0勝,海外0勝)","2勝(中央2勝,地方0勝,海外0勝)",2020/03/01 中山3R 3歳未勝利 トミケンアラバール (8着),2020/04/05 中山12R 4歳以上2勝クラス タイキダイヤモンド,2020/08/09 新潟11R レパードS(G3) フェイバリット (13着),2026/03/21 中山11R フラワーC(G3) スマートプリエール,2022/12/11 阪神11R 阪神ジュベナイルF(G1) ミシシッピテソーロ (5着),-,7078,112,153,182,3.2,12.6,7,13,9,3.5,14.4,404
01196,小牧加矢太 (コマキカヤタ),1996-12-24,29,,,兵庫県,,2022年(5年目),中央 3勝 (61位) 地方 0勝(0位),中央 54勝 地方 0勝,"中央4,230万円 地方 0万円","中央11億6,847万円 地方0万円","0勝(中央0勝,地方0勝,海外0勝)","3勝(中央3勝,地方0勝,海外0勝)",2022/07/30 新潟8R 新潟ジャンプS(J.G3) ヴァーダイト (3着),2024/07/27 新潟9R 新潟ジャンプS(J.G3) ホッコーメヴィウス,-,-,,,401,54,55,51,13.5,39.9,3,2,2,11.5,26.9,26
01197,佐々木大輔 (ササキダイスケ),2003-11-24,22,162,47,茨城県,,2022年(5年目),中央 15勝 (20位) 地方 1勝 (231位),中央 250勝 地方 4勝,"中央3億4,824万円 地方 350万円","中央41億8,317万円 地方3,050万円","0勝(中央0勝,地方0勝,海外0勝)","6勝(中央6勝,地方0勝,海外0勝)",2022/03/05 中山2R 3歳未勝利 カシノハートフル (14着),2022/04/10 中山8R 4歳以上1勝クラス スイートカルデア,2022/10/29 東京11R アルテミスS(G3) コウセイマリア (8着),2024/07/13 函館11R 函館2歳S(G3) サトノカルナバル,2023/12/28 中山11R ホープフルS(G1) インザモーメント (8着),-,5908,250,222,239,8.5,24.1,15,25,8,6.0,19.1,502
01201,水沼元輝 (ミズヌマゲンキ),2002-09-02,23,159,47,栃木県,,2022年(5年目),中央0勝(118位) 地方 0勝(270位),中央 16勝 地方 3勝,"中央2,075万円 地方 0万円","中央2億5,373万円 地方523万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2022/03/06 中山2R 3歳未勝利 ベルヴュードライヴ (13着),2022/09/11 中山1R 2歳未勝利 ネバレチュゴー,2025/08/16 新潟9R 新潟ジャンプS(J.G3) エコロマーベリック (12着),-,-,-,1461,16,14,24,2.0,6.8,0,4,1,0.0,7.8,107
01207,佐藤翔馬 (サトウショウマ),2004-11-08,21,154,45,神奈川県,AB型,2023年(4年目),中央 2勝 (79位) 地方 0勝(270位),中央 10勝 地方 13勝,"中央2,923万円 地方 125万円","中央1億8,239万円 地方4,025万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2023/03/04 中山2R 3歳未勝利 オスカーレイ (14着),2023/09/10 中山1R 2歳未勝利 ホーリーブライト,2023/04/01 中山11R ダービー卿チャレンジ(G3) トーラスジェミニ (16着),-,-,-,1380,10,11,18,1.4,5.7,2,2,0,2.4,4.8,168
01219,谷原柚希 (タニハラユズキ),2007-02-20,19,153,46,千葉県,B型,2025年(2年目),中央0勝(118位) 地方 0勝(0位),中央0勝 地方 1勝,中央0万円 地方 0万円,"中央1,278万円 地方308万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2025/03/01 中山2R 3歳未勝利 スリーローズマリー (14着),-,-,-,-,,176,0,3,0,0.0,3.4,0,0,0,0.0,0.0,44
05203,岩田康誠 (イワタヤスナリ),1974-03-12,52,159,52,兵庫県,AB型,2006年(21年目),中央 8勝 (37位) 地方 1勝 (231位),"中央 1,858勝 地方 194勝","中央2億9,163万円 地方 1,250万円","中央415億3,139万円 地方59億3,728万円","30勝(中央25勝,地方5勝,海外5勝)","209勝(中央116勝,地方93勝,海外6勝)",1999/11/07 京都5R 4歳以上900万下 イシヤクモンド (5着),2000/09/16 阪神7R 4歳以上500万下 バンブーウタヒメ,2000/11/05 京都11R KBSファンタジーS(G3) ホエールハーバー (12着),2002/09/08 阪神11R セントウルS(G3) ビリーヴ,2002/04/07 阪神11R 桜花賞(G1) アイノブリーズ (17着),2004/10/24 京都11R 菊花賞(G1) デルタブルース,32476,1858,1787,1720,11.4,33.0,8,13,19,4.2,21.2,378
05339,Ｃ．ルメール (クリストフ・ルメール),1979-05-20,46,163,53,フランス,B型,2015年(12年目),中央 59勝 (1位) 地方 1勝 (231位),"中央 2,173勝 地方 2勝","中央13億9,756万円 地方 4,080万円","中央505億1,263万円 地方15億8,876万円","69勝(中央59勝,地方10勝,海外9勝)","202勝(中央177勝,地方25勝,海外23勝)",2002/12/07 中京2R 2歳新馬 クラシカルヴォーグ (12着),2002/12/08 中京2R 2歳未勝利 ヤマニンロータス,2002/12/07 中京11R 中日新聞杯(G3) ナリタダイドウ (11着),2005/12/25 中山9R 有馬記念(G1) ハーツクライ,2003/11/30 東京10R ジャパンC(G1) アナマリー (12着),2005/12/25 中山9R 有馬記念(G1) ハーツクライ,19354,2173,1555,1138,22.5,50.3,59,35,30,30.1,63.3,392
