JKNO,JKNAME,BIRTHDAY,AGE,HEIGHT,WEIGHT,HOMETOWN,BLOODTYPE,DEBUT,WINS_THIS_YEAR,WINS_TOTAL,PRIZE_THIS_YEAR,PRIZE_TOTAL,GI_WINS,GRADED_WINS_1,FIRST_DEBUT,FIRST_WIN_DATE,GRADED_STARTS,GRADED_WINS_2,FIRST_GI_START,FIRST_GI_WIN,RCCNTT,ORD1CNTT,ORD2CNTT,ORD3CNTT,WINRATET,QNLRATET,ORD1CNTY,ORD2CNTY,ORD3CNTY,WINRATEY,QNLRATEY,RCCNTY
01087,上野翔 (ウエノショウ),1985-12-23,40,167,51,熊本県,B型,2004年(23年目),中央 4勝 (56位) 地方 0勝(0位),中央 102勝 地方 0勝,"中央7,182万円 地方 0万円","中央19億6,574万円 地方24万円","0勝(中央0勝,地方0勝,海外0勝)","3勝(中央3勝,地方0勝,海外0勝)",2004/03/07 中京7R 4歳以上500万下 カリスマサンロード (4着),2004/08/14 小倉2R 3歳未勝利 ホーマンパキラ,2008/11/01 京都11R 毎日放送賞スワンS(G2) トーセンザオー (14着),2022/06/25 東京8R 東京ジャンプS(J.G3) ケイティクレバー,-,-,3716,102,119,140,4.3,15.2,4,2,1,11.8,20.6,35
01096,大野拓弥 (オオノタクヤ),1986-09-08,39,162,46,埼玉県,B型,2005年(22年目),中央 3勝 (61位) 地方 0勝(270位),中央 755勝 地方 17勝,"中央1億3,290万円 地方 300万円","中央153億2,257万円 地方6億2,947万円","5勝(中央2勝,地方3勝,海外0勝)","18勝(中央12勝,地方6勝,海外0勝)",2005/03/05 中京1R 3歳未勝利 ナンヨージルバ,2005/03/13 中山4R 3歳未勝利 フレンチクルーラー,2006/04/23 東京11R サンスポ賞フローラS(G2) ミルキーウェイ (6着),2011/12/10 小倉11R 中日新聞杯(G3) コスモファントム,2007/05/20 東京11R 優駿牝馬(G1) マイネルーチェ (6着),2014/10/05 新潟11R スプリンターズS(G1) スノードラゴン,27737,755,888,1018,5.4,19.2,3,11,10,2.0,16.0,300
01101,中村将之 (ナカムラマサユキ),1986-10-09,39,162,52,愛知県,B型,2005年(22年目),中央 3勝 (61位) 地方 0勝(0位),中央 154勝 地方 1勝,"中央3,754万円 地方 0万円","中央29億7,677万円 地方91万円","0勝(中央0勝,地方0勝,海外0勝)","5勝(中央5勝,地方0勝,海外0勝)",2005/03/05 阪神5R 3歳新馬 メディアブリッツ (4着),2005/05/22 新潟9R 4歳以上500万下 ブレッザ,2006/06/18 京都11R マーメイドS(G3) シールビーバック (5着),2010/10/16 東京9R 東京ハイジャンプ(J.G2) イコールパートナー,2007/05/13 東京11R ヴィクトリアマイル(G1) サヨウナラ (17着),-,5402,154,214,200,4.9,18.0,3,3,0,17.6,35.3,18
01113,草野太郎 (クサノタロウ),1989-01-20,37,162,49,茨城県,A型,2007年(20年目),中央 1勝 (92位) 地方 0勝(0位),中央 76勝 地方 0勝,"中央6,049万円 地方 0万円","中央17億8,767万円 地方0万円","2勝(中央2勝,地方0勝,海外0勝)","6勝(中央6勝,地方0勝,海外0勝)",2007/03/04 中山2R 3歳未勝利 ステラフィランテ (11着),2007/05/13 新潟2R 3歳未勝利 ニシノタマテバコ,2009/06/13 東京9R 東京ジャンプS(J.G3) ハイヤーザンヘブン (14着),2013/06/22 東京8R 東京ジャンプS(J.G3) アポロマーベリック,-,-,2363,76,103,84,4.2,14.6,1,3,6,3.4,34.5,29
01119,伊藤工真 (イトウタクマ),1990-02-26,36,160,50,福島県,A型,2008年(19年目),中央0勝(118位) 地方 0勝(0位),中央 130勝 地方 1勝,中央644万円 地方 0万円,"中央24億3,514万円 地方605万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2008/03/01 中山1R 3歳未勝利 トウショウブリーズ (9着),2008/10/26 東京1R 2歳未勝利 サザンスターディ,2009/02/15 東京11R ダイヤモンドS(G3) ゴーウィズウィンド (5着),-,2010/05/09 東京11R NHKマイルC(G1) キングレオポルド (12着),-,8047,130,193,211,3.2,13.2,0,0,1,0.0,5.0,40
01120,大江原圭 (オオエハラケイ),1990-02-26,36,168,47,茨城県,A型,2008年(19年目),中央 4勝 (56位) 地方 0勝(0位),中央 52勝 地方 0勝,"中央6,331万円 地方 0万円","中央11億2,749万円 地方0万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2008/03/01 中京1R 3歳未勝利 ビリーヴインタイム (13着),2014/01/19 中京2R 3歳未勝利 サンライズレーヴ,2009/12/26 中山10R 中山大障害(J.G1) モルフェサイレンス (4着),-,-,-,1497,52,59,85,4.0,15.3,4,1,2,15.4,26.9,26
01122,三浦皇成 (ミウラコウセイ),1989-12-19,36,167,50,東京都,O型,2008年(19年目),中央 16勝 (18位) 地方 0勝(0位),"中央 1,148勝 地方 18勝","中央4億2,277万円 地方 0万円","中央217億円 地方4億6,216万円","4勝(中央1勝,地方3勝,海外0勝)","29勝(中央23勝,地方6勝,海外0勝)",2008/03/01 中山1R 3歳未勝利 モエレロングラン (6着),2008/03/01 中山10R 潮来特別(1000万下) フェニコーン,2008/03/16 中山11R 中山牝馬S(G3) マルノマンハッタン (16着),2008/08/10 函館9R 函館2歳S(G3) フィフスペトル,2008/10/05 中山11R スプリンターズS(G1) プレミアムボックス (14着),2025/09/28 中山11R スプリンターズS(G1) ウインカーネリアン,25638,1148,1270,1136,9.0,27.7,16,12,18,8.9,25.7,358
01123,小野寺祐太 (オノデラユウタ),1990-03-12,36,162,49,宮城県,O型,2009年(18年目),中央 2勝 (79位) 地方 0勝(0位),中央 66勝 地方 0勝,"中央4,063万円 地方 0万円","中央13億6,696万円 地方7万円","0勝(中央0勝,地方0勝,海外0勝)","1勝(中央1勝,地方0勝,海外0勝)",2009/03/01 中山5R 3歳未勝利 エアダーミ (5着),2009/03/29 中山5R 3歳未勝利 キングヴィオラ,2010/11/07 東京11R アルゼンチン共和国杯(G2) マキハタサイボーグ (11着),2023/03/11 阪神8R 阪神スプリングJ(J.G2) ジェミニキング,-,-,3220,66,77,108,3.2,12.3,2,1,0,6.7,10.0,30
01140,横山和生 (ヨコヤマカズオ),1993-03-23,33,167,52,茨城県,A型,2011年(16年目),中央 20勝 (12位) 地方 0勝(270位),中央 514勝 地方 5勝,"中央4億4,270万円 地方 450万円","中央106億7,617万円 地方3億4,534万円","6勝(中央4勝,地方2勝,海外0勝)","25勝(中央20勝,地方5勝,海外0勝)",2011/03/05 中山1R 3歳未勝利 ディアアルジャン (15着),2011/04/30 新潟7R 4歳以上500万下 ローレルカンタータ,2012/08/19 札幌11R 札幌記念(G2) ネヴァブション (12着),2018/08/12 札幌11R エルムS(G3) ハイランドピーク,2014/04/13 阪神11R 桜花賞(G1) フクノドリーム (15着),2022/05/01 阪神11R 天皇賞(春)(G1) タイトルホルダー,13452,514,444,466,7.6,21.2,20,8,17,12.2,27.4,328
01149,伴啓太 (バンケイタ),1993-06-04,32,161,50,静岡県,A型,2013年(14年目),中央 1勝 (92位) 地方 0勝(0位),中央 82勝 地方 0勝,"中央3,471万円 地方 0万円","中央13億7,850万円 地方56万円","0勝(中央0勝,地方0勝,海外0勝)","1勝(中央1勝,地方0勝,海外0勝)",2013/03/09 中山2R 3歳未勝利 アーリーボーイ (10着),2013/04/27 福島2R 3歳未勝利 ダンツカナリー,2013/07/14 函館11R 函館記念(G3) イケドラゴン (15着),2025/11/08 京都8R 京都ジャンプS(J.G3) ローディアマント,-,-,4416,82,93,89,3.3,10.7,1,3,2,3.4,20.7,29
01152,小崎綾也 (コザキリョウヤ),1995-05-13,30,163,50,滋賀県,A型,2014年(13年目),中央 6勝 (47位) 地方 1勝 (231位),中央 163勝 地方 8勝,"中央1億4,158万円 地方 400万円","中央29億1,773万円 地方4,570万円","0勝(中央0勝,地方0勝,海外0勝)","1勝(中央1勝,地方0勝,海外0勝)",2014/04/19 阪神1R 3歳未勝利 アグネスアミニソル (11着),2014/04/19 阪神7R 4歳以上500万下 ケルンフォーティー,2014/12/20 中京11R 愛知杯(G3) フレイムコード (12着),2018/07/22 函館11R 函館2歳S(G3) アスターペガサス,2021/11/21 阪神11R マイルチャンピオンS(G1) レインボーフラッグ (11着),-,7244,163,181,218,4.5,15.5,6,2,13,5.1,17.8,236
01153,木幡初也 (コワタハツヤ),1995-04-07,31,155,47,茨城県,O型,2014年(13年目),中央 2勝 (79位) 地方 0勝(270位),中央 96勝 地方 3勝,"中央3,187万円 地方 80万円","中央17億2,354万円 地方934万円","0勝(中央0勝,地方0勝,海外0勝)","1勝(中央1勝,地方0勝,海外0勝)",2014/03/01 中山6R 3歳未勝利 ディープフォンテン (12着),2014/03/15 中山12R 4歳以上500万下 カレイファンタジア,2014/04/06 中山11R ダービー卿チャレンジ(G3) スプラッシュエンド (13着),2024/09/01 新潟11R 新潟記念(G3) シンリョクカ,2016/12/11 阪神11R 阪神ジュベナイルF(G1) エムオービーナス (18着),-,6684,96,135,143,2.9,11.2,2,3,0,3.9,9.8,102
01158,野中悠太郎 (ノナカユウタロウ),1996-12-29,29,161,46,福岡県,A型,2015年(12年目),中央 2勝 (79位) 地方 0勝(270位),中央 115勝 地方 5勝,"中央2,151万円 地方 62万円","中央23億3,702万円 地方2,201万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2015/03/01 中山6R 3歳未勝利 タマヨリモハヤク (14着),2015/07/19 福島1R 2歳未勝利 キャラメルサレ,2016/09/18 中山11R 朝日セントライト記念(G2) ネイチャーレット (4着),-,2022/05/22 東京11R 優駿牝馬(G1) ラブパイロー (15着),-,9346,115,160,203,2.5,10.2,2,2,0,2.6,5.1,156
01162,木幡巧也 (コワタタクヤ),1996-05-09,29,159,46,茨城県,O型,2016年(11年目),中央 6勝 (47位) 地方 0勝(0位),中央 270勝 地方 2勝,"中央1億2,177万円 地方 0万円","中央49億3,025万円 地方1,863万円","0勝(中央0勝,地方0勝,海外0勝)","3勝(中央3勝,地方0勝,海外0勝)",2016/03/05 中山1R 3歳未勝利 プリンセスミエル (10着),2016/03/27 中山1R 3歳未勝利 モンサンアルナイル,2016/07/31 新潟11R アイビスサマーD(G3) フレイムヘイロー (8着),2017/08/06 新潟11R レパードS(G3) ローズプリンスダム,2020/05/03 京都11R 天皇賞(春)(G1) ミライヘノツバサ (12着),-,12558,270,333,365,4.3,15.4,6,14,5,3.3,13.6,368
01170,横山武史 (ヨコヤマタケシ),1998-12-22,27,161,45,茨城県,O型,2017年(10年目),中央 36勝 (6位) 地方 0勝(270位),中央 801勝 地方 21勝,"中央5億8,988万円 地方 0万円","中央158億6,625万円 地方6億8,284万円","10勝(中央6勝,地方4勝,海外0勝)","36勝(中央27勝,地方9勝,海外1勝)",2017/03/04 中山1R 3歳未勝利 ルーナデラセーラー (7着),2017/04/16 福島9R 4歳以上500万下 ヒルノサルバドール,2018/05/06 新潟11R 新潟大賞典(G3) アウトライアーズ (9着),2020/04/26 東京11R サンスポ賞フローラS(G2) ウインマリリン,2019/05/26 東京11R 東京優駿(G1) リオンリオン (15着),2021/04/18 中山11R 皐月賞(G1) エフフォーリア,13208,801,669,641,12.1,32.0,36,27,26,15.7,38.9,458
01181,秋山稔樹 (アキヤマトシキ),2001-09-12,24,155,45,千葉県,A型,2020年(7年目),中央 3勝 (61位) 地方 0勝(270位),中央 110勝 地方 16勝,"中央7,409万円 地方 77万円","中央18億3,038万円 地方4,644万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2020/03/01 中山1R 3歳未勝利 ラブエスポー (5着),2020/03/15 中山1R 3歳未勝利 ラブエスポー,2021/03/20 中京11R 中スポ賞ファルコンS(G3) ラングロワ (13着),-,2024/12/15 京都11R 朝日フューチュリティ(G1) コスモストーム (8着),-,5238,110,125,140,4.2,14.3,3,5,8,3.1,16.7,192
01192,横山琉人 (ヨコヤマリュウト),2003-01-08,23,160,44,茨城県,O型,2021年(6年目),中央 13勝 (26位) 地方 1勝 (231位),中央 121勝 地方 4勝,中央2億867万円 地方 270万円,"中央18億957万円 地方1,281万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2021/03/06 中山1R 3歳未勝利 オリエンタルメラク (14着),2021/04/10 中山1R 3歳未勝利 ノアファンタジー,2022/01/30 東京11R 根岸S(G3) トップウイナー (15着),-,2024/05/12 東京11R ヴィクトリアマイル(G1) フィールシンパシー (12着),-,4490,121,97,118,5.4,15.0,13,6,9,8.3,17.9,312
01194,大久保友雅 (オオクボユウガ),2003-06-01,22,163,47,滋賀県,,2022年(5年目),中央0勝(118位) 地方 0勝(0位),中央 4勝 地方 2勝,中央861万円 地方 0万円,"中央8,830万円 地方622万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2022/03/05 阪神2R 3歳未勝利 タガノシリフケ (2着),2022/05/15 中京8R 4歳以上1勝クラス キゾク,2026/01/18 中山11R 京成杯(G3) ポッドクロス (11着),-,-,-,726,4,8,8,1.1,5.5,0,2,0,0.0,3.7,108
01196,小牧加矢太 (コマキカヤタ),1996-12-24,29,,,兵庫県,,2022年(5年目),中央 3勝 (61位) 地方 0勝(0位),中央 54勝 地方 0勝,"中央4,230万円 地方 0万円","中央11億6,847万円 地方0万円","0勝(中央0勝,地方0勝,海外0勝)","3勝(中央3勝,地方0勝,海外0勝)",2022/07/30 新潟8R 新潟ジャンプS(J.G3) ヴァーダイト (3着),2024/07/27 新潟9R 新潟ジャンプS(J.G3) ホッコーメヴィウス,-,-,,,401,54,55,51,13.5,39.9,3,2,2,11.5,26.9,26
01197,佐々木大輔 (ササキダイスケ),2003-11-24,22,162,47,茨城県,,2022年(5年目),中央 15勝 (20位) 地方 1勝 (231位),中央 250勝 地方 4勝,"中央3億4,824万円 地方 350万円","中央41億8,317万円 地方3,050万円","0勝(中央0勝,地方0勝,海外0勝)","6勝(中央6勝,地方0勝,海外0勝)",2022/03/05 中山2R 3歳未勝利 カシノハートフル (14着),2022/04/10 中山8R 4歳以上1勝クラス スイートカルデア,2022/10/29 東京11R アルテミスS(G3) コウセイマリア (8着),2024/07/13 函館11R 函館2歳S(G3) サトノカルナバル,2023/12/28 中山11R ホープフルS(G1) インザモーメント (8着),-,5908,250,222,239,8.5,24.1,15,25,8,6.0,19.1,502
01198,土田真翔 (ツチダマナト),2004-02-17,22,167,47,福島県,,2022年(5年目),中央 1勝 (92位) 地方 0勝(0位),中央 2勝 地方 2勝,"中央1,180万円 地方 0万円","中央8,524万円 地方511万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2022/03/05 中山1R 3歳未勝利 ノーブルグレイシャ (9着),2023/04/16 福島12R 4歳以上1勝クラス サノノヒーロー,-,-,-,-,700,2,7,8,0.5,4.3,1,1,0,6.7,13.3,23
01201,水沼元輝 (ミズヌマゲンキ),2002-09-02,23,159,47,栃木県,,2022年(5年目),中央0勝(118位) 地方 0勝(270位),中央 16勝 地方 3勝,"中央2,075万円 地方 0万円","中央2億5,373万円 地方523万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2022/03/06 中山2R 3歳未勝利 ベルヴュードライヴ (13着),2022/09/11 中山1R 2歳未勝利 ネバレチュゴー,2025/08/16 新潟9R 新潟ジャンプS(J.G3) エコロマーベリック (12着),-,-,-,1461,16,14,24,2.0,6.8,0,4,1,0.0,7.8,107
01214,長浜鴻緒 (ナガハマコオ),2005-11-12,20,159,48,青森県,O型,2024年(3年目),中央 5勝 (53位) 地方 1勝 (231位),中央 46勝 地方 6勝,"中央9,480万円 地方 399万円","中央7億4,034万円 地方1,501万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2024/03/02 中山1R 3歳未勝利 オオゾラヒバリ (2着),2024/03/09 中山2R 3歳未勝利 グリントリッター,2026/02/14 東京11R デイリー杯クイーンC(G3) ザバルガド (10着),-,-,-,2288,46,66,55,4.0,14.6,5,11,7,2.5,11.3,406
01220,田山旺佑 (タヤマオウスケ),2006-07-20,19,163,48,兵庫県,O型,2025年(2年目),中央 11勝 (28位) 地方 1勝 (231位),中央 27勝 地方 2勝,"中央1億9,952万円 地方 247万円","中央4億2,415万円 地方555万円","0勝(中央0勝,地方0勝,海外0勝)","0勝(中央0勝,地方0勝,海外0勝)",2025/03/01 阪神4R 3歳未勝利 スマートビビット (11着),2025/03/09 阪神1R 3歳未勝利 ツキノアカリ,2025/09/14 阪神11R 関西TVローズS(G2) アイサンサン (12着),-,-,-,1112,27,25,31,4.9,14.9,11,15,12,5.2,18.0,422
